model,Samples,R2,MAE,RMSE,MAPE,Bias,low_lt_0p001_n,low_lt_0p001_mae,low_lt_0p001_rmse,low_lt_0p001_mape,low_lt_0p001_bias,core_0p001_0p005_n,core_0p001_0p005_mae,core_0p001_0p005_rmse,core_0p001_0p005_mape,core_0p001_0p005_bias,mid_0p005_0p010_n,mid_0p005_0p010_mae,mid_0p005_0p010_rmse,mid_0p005_0p010_mape,mid_0p005_0p010_bias,tail_ge_0p010_n,tail_ge_0p010_mae,tail_ge_0p010_rmse,tail_ge_0p010_mape,tail_ge_0p010_bias,f1_ge_0p005,precision_ge_0p005,recall_ge_0p005,f1_ge_0p01,precision_ge_0p01,recall_ge_0p01,f1_ge_0p015,precision_ge_0p015,recall_ge_0p015,f1_ge_0p02,precision_ge_0p02,recall_ge_0p02
v2_best,7332.0,0.8827662624777255,0.000628059603743317,0.0012212149295822727,19.02261419258921,-1.568035357174032e-05,2152.0,8.858094220539034e-05,0.00012413003812403357,29.088230460404045,5.019653997769517e-05,2292.0,0.0004666895561605584,0.0007171443702393657,15.89239866521204,0.00027311104314136123,2617.0,0.0009299455090561711,0.0011846101213003426,13.1382109422193,-7.504422437905998e-05,271.0,0.0033615755243542435,0.00472503366789927,22.3906255823641,-0.0024080113730627307,0.916208562385474,0.8828250401284109,0.9522160664819944,0.5411764705882353,0.5774058577405857,0.5092250922509225,0.49056603773584895,0.5777777777777777,0.4262295081967213,0.4210526315789474,0.5333333333333333,0.34782608695652173
v5_mae,7332.0,0.8749118339836601,0.000623438141977905,0.0012614612437545113,17.469752945543487,-2.5633840616475757e-06,2152.0,8.134373078159852e-05,0.0001223071464093979,24.093078187440437,3.533867035315985e-05,2292.0,0.00045899356742582897,0.0007128186888448526,15.791555689831466,0.0002575437871989529,2617.0,0.0009078737589224302,0.0011917392572647124,12.827907648135216,3.0477763813526936e-05,271.0,0.003572243043173432,0.004992149609179498,23.89315269774702,-0.002822487891881919,0.923922090893957,0.8897082398204553,0.9608725761772853,0.5039062500000001,0.5352697095435685,0.47601476014760147,0.32989690721649484,0.4444444444444444,0.26229508196721313,0.37500000000000006,0.6666666666666666,0.2608695652173913
blend_wv2_0.0,7332.0,0.8749118339836601,0.000623438141977905,0.0012614612437545113,17.469752945543487,-2.5633840616475757e-06,2152.0,8.134373078159852e-05,0.0001223071464093979,24.093078187440437,3.533867035315985e-05,2292.0,0.00045899356742582897,0.0007128186888448526,15.791555689831466,0.0002575437871989529,2617.0,0.0009078737589224302,0.0011917392572647124,12.827907648135216,3.0477763813526936e-05,271.0,0.003572243043173432,0.004992149609179498,23.89315269774702,-0.002822487891881919,0.923922090893957,0.8897082398204553,0.9608725761772853,0.5039062500000001,0.5352697095435685,0.47601476014760147,0.32989690721649484,0.4444444444444444,0.26229508196721313,0.37500000000000006,0.6666666666666666,0.2608695652173913
blend_wv2_0.1,7332.0,0.8778682711369893,0.0006187517059561376,0.0012464648958074686,17.541018054961388,-3.875081012656746e-06,2152.0,8.183184924925651e-05,0.00012212187750970405,24.539615336383214,3.6824457315613396e-05,2292.0,0.0004586363124938919,0.0007110236400765367,15.758450723112524,0.00025910051279319377,2617.0,0.0009011662532709208,0.0011757312788787113,12.736115386839408,1.9925564994268435e-05,271.0,0.0035093684702583025,0.0049286882295131946,23.441731182094422,-0.0027810402399999997,0.9232817440505907,0.8888176866388978,0.9605263157894737,0.5136186770428015,0.5432098765432098,0.4870848708487085,0.3333333333333333,0.45714285714285713,0.26229508196721313,0.4516129032258065,0.875,0.30434782608695654
blend_wv2_0.2,7332.0,0.8803422651116691,0.0006149473859534643,0.0012337756316900851,17.629580096727466,-5.186777963665897e-06,2152.0,8.240200543624537e-05,0.00012201849890926203,25.00439023914361,3.831024427806694e-05,2292.0,0.00045850582962129153,0.000709721197115651,15.735008989934476,0.0002606572383874347,2617.0,0.0008960319113641575,0.0011629664740288401,12.665405482949124,9.373366175009963e-06,271.0,0.0034525986884870845,0.0048728437472420495,23.028142881037116,-0.0027395925881180806,0.9233582709891938,0.8880716341541414,0.9615650969529086,0.5205479452054795,0.5541666666666667,0.4907749077490775,0.36170212765957444,0.5151515151515151,0.2786885245901639,0.4516129032258065,0.875,0.30434782608695654
blend_wv2_0.3,7332.0,0.8823338159076993,0.0006122168344527005,0.001223465237802249,17.735546718248326,-6.4984749146756206e-06,2152.0,8.301269502286243e-05,0.0001219972187860573,25.47933084616342,3.979603124052042e-05,2292.0,0.0004587529436858638,0.0007089140750678093,15.725140375179905,0.0002622139639816752,2617.0,0.0008923215900152846,0.0011535525111800314,12.614551129959011,-1.1788326442495267e-06,271.0,0.0034076131458302583,0.004824880649748047,22.698179004568157,-0.0026981449362361632,0.9222074468085105,0.8868286445012787,0.9605263157894737,0.5238095238095238,0.5665236051502146,0.4870848708487085,0.37894736842105264,0.5294117647058824,0.29508196721311475,0.4,0.8571428571428571,0.2608695652173913
blend_wv2_0.4,7332.0,0.8838429235250801,0.0006104198365504092,0.0012155942467596082,17.857787454288516,-7.810171865684675e-06,2152.0,8.366767850539034e-05,0.00012205808008028732,25.966476025314673,4.1281818202973974e-05,2292.0,0.0004592349201937173,0.0007086039664930007,15.72336426166055,0.00026377068957591626,2617.0,0.0008904366021780665,0.001147571857940853,12.588485045926095,-1.1731031463507838e-05,271.0,0.0033679201935793357,0.004785035941513237,22.40378212343781,-0.0026566972843542437,0.9213632585203657,0.8861528621682123,0.9594875346260388,0.532803180914513,0.5775862068965517,0.4944649446494465,0.4081632653061225,0.5405405405405406,0.32786885245901637,0.4516129032258065,0.875,0.30434782608695654
blend_wv2_0.5,7332.0,0.8848695879638114,0.0006095196038207856,0.001210210255817519,17.99483511033456,-9.121868816693944e-06,2152.0,8.43738452063197e-05,0.00012220096006221749,26.462574865542493,4.276760516542751e-05,2292.0,0.0004599170242495637,0.0007087915237475477,15.728757112282926,0.0002653274151701571,2617.0,0.0008903916547000381,0.0011450783112867291,12.586953203607084,-2.228323028276652e-05,271.0,0.003332621551291513,0.00475351377581016,22.141336100122945,-0.0026152496324723246,0.9207246135948148,0.8852668584212209,0.9591412742382271,0.5335968379446641,0.574468085106383,0.4981549815498155,0.4444444444444445,0.5789473684210527,0.36065573770491804,0.43750000000000006,0.7777777777777778,0.30434782608695654
blend_wv2_0.6,7332.0,0.8854138092238932,0.000610305530745281,0.0012073465367089312,18.155351542059602,-1.0433565767703218e-05,2152.0,8.510761888308551e-05,0.00012242557156598723,26.965094776223488,4.425339212788104e-05,2292.0,0.000460848376495637,0.000709476352142563,15.745531793817419,0.0002668841407643979,2617.0,0.0008929813327168513,0.001146094632032667,12.622803856895363,-3.283542910202521e-05,271.0,0.003315173169520295,0.004730480530563845,22.00559772333349,-0.002573801980590406,0.919754111978734,0.884062599808368,0.9584487534626038,0.5386138613861386,0.5811965811965812,0.5018450184501845,0.4554455445544554,0.575,0.3770491803278688,0.42424242424242425,0.7,0.30434782608695654
blend_wv2_0.7,7332.0,0.8854755873053255,0.000612706029246563,0.0012070210279885335,18.34102829264718,-1.1745262718712498e-05,2152.0,8.591135347574349e-05,0.0001227314658605477,27.482075525811123,4.5739179090334566e-05,2292.0,0.0004619146052382199,0.0007106570140855969,15.768718400896844,0.00026844086635863874,2617.0,0.0008986101527588842,0.0011506115195504963,12.701804855710561,-4.338762792128391e-05,271.0,0.0033103628368265684,0.004716060587105871,21.964822981156818,-0.002532354328708487,0.9185505319148936,0.8833120204603581,0.9567174515235457,0.5364891518737672,0.576271186440678,0.5018450184501845,0.4615384615384615,0.5581395348837209,0.39344262295081966,0.42424242424242425,0.7,0.30434782608695654
blend_wv2_0.8,7332.0,0.8850549222081083,0.0006163709199818875,0.0012092357794062506,18.546392264821506,-1.3056959669721772e-05,2152.0,8.676344952750929e-05,0.0001231180370911917,28.00894847805162,4.7224966052788106e-05,2292.0,0.00046319822935602094,0.0007123310441044848,15.799169017333545,0.0002699975919528796,2617.0,0.000906777890722201,0.0011585880324877739,12.815933302091844,-5.393982674054261e-05,271.0,0.003313020517416974,0.004710333050904821,21.977483843547475,-0.0024909066768265685,0.9184963406520292,0.8838028169014085,0.9560249307479224,0.5335968379446641,0.574468085106383,0.4981549815498155,0.45714285714285713,0.5454545454545454,0.39344262295081966,0.42424242424242425,0.7,0.30434782608695654
blend_wv2_0.9,7332.0,0.8841518139322417,0.0006217099714687125,0.0012139768878657816,18.775365272794975,-1.4368656620731046e-05,2152.0,8.764787802815986e-05,0.00012358452819016819,28.542851819539212,4.871075301524163e-05,2292.0,0.00046480090865706807,0.0007144949743891174,15.840773593492388,0.0002715543175471204,2617.0,0.0009172862496713794,0.0011699534118411986,12.962387800919965,-6.44920255598013e-05,271.0,0.003335415052619926,0.0047133296105431035,22.166564993329466,-0.0024494590249446494,0.9174159174159175,0.8835792174470815,0.9539473684210527,0.5458089668615985,0.5785123966942148,0.5166051660516605,0.49056603773584895,0.5777777777777777,0.4262295081967213,0.4324324324324324,0.5714285714285714,0.34782608695652173
blend_wv2_1.0,7332.0,0.8827662624777255,0.000628059603743317,0.0012212149295822727,19.02261419258921,-1.568035357174032e-05,2152.0,8.858094220539034e-05,0.00012413003812403357,29.088230460404045,5.019653997769517e-05,2292.0,0.0004666895561605584,0.0007171443702393657,15.89239866521204,0.00027311104314136123,2617.0,0.0009299455090561711,0.0011846101213003426,13.1382109422193,-7.504422437905998e-05,271.0,0.0033615755243542435,0.00472503366789927,22.3906255823641,-0.0024080113730627307,0.916208562385474,0.8828250401284109,0.9522160664819944,0.5411764705882353,0.5774058577405857,0.5092250922509225,0.49056603773584895,0.5777777777777777,0.4262295081967213,0.4210526315789474,0.5333333333333333,0.34782608695652173
