"Name","Version","Entry","SizeGB","SizeMB","LastWriteTime"
"idna","3.11","cInB8jfDQD-lG0sfVi-4-","0.0003","0.3","2026/1/30 12:26:32"
"tensorboard-plugin-wit","1.8.1","ciNV_ManyBGDt79n2oHrh","0.003","3","2026/5/6 19:02:49"
"distro","1.9.0","ckB6tB7ldmP1er1IMvUqj","0.0001","0.1","2026/2/1 14:03:18"
"indextts","2.0.0","cKY5fXBBoYICHjZsjq729","0","0","2026/1/30 11:49:42"
"Jinja2","3.1.6","clOqwq4ynQgiZmx0jcDmc","0.0005","0.5","2026/5/20 13:59:26"
"plotly","6.6.0","COKanILrBepmXmLlJ5oNj","0.0402","41.2","2026/4/2 21:38:25"
"openseespy","3.7.0.3","cPkTG4L1TaATqe4URS8yb","0","0","2026/2/14 12:37:15"
"graphemeu","0.7.2","cPowmEEh1jqh6v4UYpnzp","0.0001","0.1","2026/3/2 19:25:31"
"about-time","4.2.1","CQhL-e7RzllBKBgP30Mp0","0","0","2026/3/2 19:25:31"
"typing_extensions","4.15.0","cub0Aomo30KYgosD694Qb","0.0002","0.2","2026/1/30 11:49:38"
"munch","4.0.0","Cvbi4RXdPA6y1BaqVIU2N","0","0","2026/1/30 11:49:37"
"setuptools","80.10.2","CvGixxcYeOzF07ViFGmeI","0.0034","3.5","2026/1/30 11:49:18"
"charset-normalizer","3.4.3","cvrd6uUBTgJ2qoalIqeDq","0.0003","0.3","2026/1/30 11:49:39"
"typeguard","4.4.4","CxanlzX0Kvux6B2J7DS0C","0.0001","0.1","2026/5/6 19:02:49"
"uvicorn","0.35.0","CxLnJkYhn98V_j5GlDIbi","0.0002","0.2","2026/1/30 11:49:40"
"tenacity","9.1.2","cZ1UMzsUTp29qJpdWD_Cp","0.0001","0.1","2026/2/1 14:03:19"
"transformers","4.25.1","czm24MoCZxGTsZzKRIpVx","0.0243","24.9","2026/2/26 13:17:56"
"msgpack","1.1.1","d-ZDteUiSN8CdEtLSHivd","0.0002","0.2","2026/3/2 19:25:31"
"Distance","0.1.3","D1ez9_199PPqZVxlptXWQ","0","0","2026/5/6 19:02:48"
"narwhals","2.18.1","d1o5jNusgGRDi3bc9XZLx","0.0018","1.8","2026/4/2 21:38:23"
"audioread","3.1.0","d5wpxvr7xKQYY0O6zV2KV","0.0001","0.1","2026/5/19 20:55:02"
"fonttools","4.61.1","d62g-dc25sn_Le2MGXzci","0.0102","10.4","2026/2/9 16:59:07"
"pypdf","6.7.3","D6nIkltEWQNAxXCaviQ_u","0.0013","1.4","2026/2/26 12:28:04"
"beautifulsoup4","4.14.3","D9kOfWUB8iqxzqo1mdcyB","0.0004","0.4","2026/5/20 14:00:22"
"python-dotenv","1.2.1","Da53YBo0ZsA5oiVZ4F7mx","0.0001","0.1","2026/2/2 19:21:21"
"wcwidth","0.2.13","DCEZ-nDtM67Lv1SneN63k","0.0005","0.5","2026/1/30 11:49:38"
"kiwisolver","1.4.9","dczd5lyFxUNxpRvmMKKxs","0.0002","0.2","2026/5/6 19:02:50"
"colorama","0.4.6","dF_szOy4ff3t76N2G10TB","0.0001","0.1","2026/1/30 11:49:40"
"hf-xet","1.2.0","DH9YZsw0-mWP2m5bV-nNM","0.0065","6.7","2026/2/2 19:21:21"
"jedi","0.19.2","DhgXsAWt05LP6d1AH3gGi","0.0042","4.3","2026/1/30 11:49:43"
"Markdown","3.9","dk-lg1kVBwoHZbIDsfswX","0.0003","0.3","2026/1/30 11:49:41"
"torch","2.6.0+cu124","dk0tokEuPURQqQGUpIQFz","4.3292","4433.1","2026/2/9 18:34:20"
"Cython","3.0.7","DL_28TqUxWOzeTGk3uoe-","0.0084","8.6","2026/5/6 19:02:54"
"websockets","15.0.1","DlRk4Ah9YAIuQT4X6tnxe","0.0006","0.6","2026/2/1 14:03:19"
"fonttools","4.60.0","DMb9XfZPv49CEC46nRrNl","0.0101","10.4","2026/1/30 11:49:45"
"tensorboard","2.9.1","dN_Wqw36xXcKTPOMa6gpx","0.0093","9.6","2026/5/6 19:02:59"
"MarkupSafe","2.1.5","doE-_7Gw5mKOgcDGjF7kA","0","0","2026/5/20 13:59:26"
"yarl","1.24.2","DPwXAQNidSu-8zc5Cq5zj","0.0003","0.3","2026/5/20 14:00:22"
"pytorch-lightning","2.2.1","dS0dpg_vTJiC5d54aeSee","0.0025","2.6","2026/2/26 13:17:22"
"importlib_resources","6.5.2","DSTgwDhNoLfCMCmVdzKlv","0.0001","0.1","2026/5/6 19:02:51"
"parso","0.8.5","dUjAZNZoz425sfpF1BXgl","0.0003","0.3","2026/1/30 11:49:38"
"soxr","1.1.0","DuWYNIkb2BbJiFxkDcsTv","0.0004","0.4","2026/5/19 20:55:03"
"stringzilla","4.6.0","DV_2wfk030fee8pD5c6qE","0.0004","0.4","2026/2/26 12:28:03"
"tomlkit","0.12.0","dvqqFKeegpXbtn64u6UeT","0.0001","0.1","2026/5/20 14:00:23"
"pystray","0.19.5","DYDm66Gcbfv_6llIinpij","0.0001","0.1","2026/4/16 13:26:39"
"numpy","1.26.4","E40T18Rf8ZbOjd2k4TtGn","0.0543","55.6","2026/5/20 13:59:40"
"pyinstaller","6.19.0","E5mxhrJxj1quYhrHvDlKI","0.0028","2.9","2026/4/16 13:18:12"
"pytz","2025.2","e7-oh3zR0zNJ1AodavaL4","0.0009","1","2026/5/6 19:02:48"
"numpy","2.4.6","eChi9rRONOIfX4ebMcxBs","0.0389","39.9","2026/5/19 20:02:10"
"regex","2025.9.1","ecs5UhcXl5Q5xhGsFog16","0.0011","1.1","2026/1/30 11:49:41"
"inflect","7.5.0","EgakDAKuX9ZayL5Wpqc7X","0.0001","0.1","2026/5/6 19:02:49"
"win32_setctime","1.2.0","EGCCmaMwll7fGaMogg-lY","0","0","2026/3/2 19:25:31"
"platformdirs","4.9.6","egY1rw5_oZEYwTgZIM3PP","0.0001","0.1","2026/5/19 20:55:02"
"json5","0.10.0","EH4MjvArJQvFowegojcNp","0.0001","0.1","2026/1/30 11:49:37"
"wheel","0.46.3","eJEAwzOidZROC_UJB6fLQ","0.0001","0.1","2026/2/26 13:17:56"
"joblib","1.5.2","EkOLv3t9o2fpAcY5UWKTM","0.0009","0.9","2026/5/6 19:02:46"
"antlr4-python3-runtime","4.9.3","Eli_tq_M9h8xYblYwo7vA","0.0004","0.5","2026/5/6 19:02:49"
"google-genai","1.61.0","ELXN49bjZ8mx2zcEJTcsd","0.0032","3.2","2026/5/6 19:02:48"
"coloredlogs","15.0.1","eOhualRsS7GbpkU7k8r7m","0.0001","0.1","2026/5/20 13:59:27"
"websockets","15.0.1","eOp_SCXUqBg8sDz7AVJvf","0.0006","0.6","2026/2/13 17:17:09"
"pydantic","2.12.5","ePm9ahk5Hl0HsE4iB3dDC","0.0017","1.8","2026/2/2 19:21:22"
"pypdfium2","5.5.0","EQrgmtUkOWbiFnEFevYwz","0.0059","6","2026/2/26 12:28:03"
"multidict","6.7.1","eryyWcCqQwTnweqe_9Rcr","0.0001","0.1","2026/2/26 12:28:03"
"torch","2.10.0","et-AFagXIP_TgOZ9mp8zV","0.3955","405","2026/2/26 12:28:35"
"certifi","2025.7.14","Et66bOxJv_nOtBvuoiLkM","0.0003","0.3","2026/3/2 19:25:31"
"torch-stoi","0.2.3","eutNP2SCmKQtct-_CDceJ","0","0","2026/5/6 19:02:48"
"tokenizers","0.22.2","eW0w7zjW224HhMrQ9j0Z_","0.0071","7.3","2026/5/19 20:02:04"
"alembic","1.18.3","EW6Hi29lvV_8K7Q_YV56n","0.001","1","2026/2/2 19:21:22"
"PyJWT","2.10.1","eWO32Sxll9Xm4hTMmAXhh","0.0001","0.1","2026/2/2 19:21:21"
"cn2an","0.5.22","ExHVRfs2_2DqDTjwXLwE6","0.0004","0.4","2026/5/6 19:02:46"
"python-multipart","0.0.20","EXzMD7TAtQs6_49Mt6KRT","0.0001","0.1","2026/5/6 19:26:58"
"tensorboard","2.14.0","EY2Xv-MrNSBtjU7jSuNTQ","0.0081","8.3","2026/5/20 14:00:38"
"granite-speech-asr","0.1.0","eZvl7TnzVU6tZVhORYMyp","0","0","2026/5/19 21:31:21"
"pillow","12.1.0","f1KqEbtdzOpASsgBkLbiU","0.0136","13.9","2026/2/2 19:21:34"
"optype","0.16.0","f2SUAfzywBWgxHPkdHf44","0.0002","0.2","2026/2/24 17:32:18"
"torch","2.6.0+cu124","F4cqeOa5OrxGCEQlVsco5","4.3293","4433.2","2026/5/28 15:59:16"
"MarkupSafe","3.0.3","f6aQD79r1DKYdlI0KBMj8","0","0","2026/2/9 17:08:43"
"kiwisolver","1.5.0","F7OyqlaqRluYIJYsyzs7C","0.0002","0.2","2026/5/20 14:00:22"
"pathspec","1.0.4","F7q-bcrD_HrCsVO2P0I7w","0.0001","0.1","2026/2/1 14:03:40"
"flatbuffers","25.12.19","fbev7d0HfMaGg6N8CCd_i","0.0001","0.1","2026/5/20 14:00:23"
"matplotlib","3.7.5","fBpZyshNwmOZbbHQ6LCME","0.0173","17.8","2026/5/20 14:00:41"
"jieba","0.42.1","Fca47_jpPFqXS0m9HGmrg","0.0356","36.5","2026/1/30 11:49:38"
"safehttpx","0.1.6","FDlDBd00ygmdTpf6_eZTj","0","0","2026/1/30 11:49:40"
"indextts","2.0.0","fEnyArN2YknaRl960-D8K","0","0","2026/3/2 19:11:41"
"colorama","0.4.6","Ff-dUsTejJu7cLAXW8tfJ","0.0001","0.1","2026/2/9 17:00:54"
"RapidFuzz","3.14.3","FIFymxEy5OMrs8ULpr4ry","0.0057","5.8","2026/2/26 12:28:06"
"kaldifst","1.7.17","FIIx9ZAdwTlyFgJVHV3xv","0.1058","108.3","2026/1/30 11:49:56"
"sniffio","1.3.1","FJsn44IUPyLmZijqHTak4","0","0","2026/2/1 14:03:18"
"threadpoolctl","3.6.0","FkbWQT3vKH5XY5pyzQHOS","0.0001","0.1","2026/1/30 11:49:38"
"pyphen","0.17.2","fL-dJvv1n1ES4wdktmhGF","0.0058","6","2026/1/30 11:49:46"
"typing-inspection","0.4.1","FLk7DqS_Q5fneBISpb6lU","0","0.1","2026/1/30 11:49:38"
"trove-classifiers","2026.1.14.14","flPbJHoldc8mZm5gdJ8-R","0.0001","0.1","2026/1/30 11:49:38"
"aiosignal","1.4.0","fmAA92R8JwDuPTwGtSAsa","0","0","2026/2/26 12:28:04"
"orjson","3.11.9","fnbMtPb1mdL9mu8ST5y7S","0.0003","0.3","2026/5/20 14:00:21"
"wheel","0.45.1","FqA8zwW7pSK18DJTds5Re","0.0002","0.2","2026/5/6 19:02:51"
"markdown2","2.5.4","fR543ZX288pJPa6wAIhfC","0.0002","0.2","2026/1/30 11:49:37"
"pyasn1","0.6.2","FRaDcbk25nooWmYpkE8CD","0.0004","0.4","2026/2/13 17:17:08"
"audioread","3.0.1","frAInvwuJSs_SWu0tneFu","0.0001","0.1","2026/5/6 19:02:49"
"transformers","4.57.6","ftRtNnZLm9IgOMbibBpOT","0.0488","50","2026/5/19 20:02:10"
"tensorboard","2.9.1","FyVM0rOou6leDlKS860I0","0.0093","9.6","2026/1/30 11:49:51"
"click","8.3.1","Fzwrdo58c3O256qKqBBdn","0.0004","0.4","2026/2/26 12:28:03"
"torchvision","0.21.0+cu124","g0JLz_uG5tpczEmQ1Y67C","0.0147","15.1","2026/2/26 13:23:06"
"aiohttp","3.13.5","G0L8zt6ev4hdRGu3O8BHA","0.0014","1.4","2026/5/20 14:00:23"
"distro","1.9.0","g4RhSEmzSowWlSDvtDvEd","0.0001","0.1","2026/5/6 19:02:51"
"grpcio-tools","1.57.0","g7BsUUALAE4AQcXdXmcKb","0.005","5.1","2026/5/20 14:00:29"
"shellingham","1.5.4","g7lPqlrkqHf6VSLWjJeHM","0","0","2026/5/6 19:26:58"
"lightning-utilities","0.15.3","GbNBftBFjxlUI8_1DwV4v","0.0001","0.1","2026/2/26 12:28:03"
"aiofiles","24.1.0","gbqs6lWvaku5BVHA0dNQP","0","0","2026/5/6 19:26:58"
"termcolor","3.1.0","GcH2LfJUGEX7H7DVRqa4O","0","0","2026/5/6 19:02:48"
"pyasn1_modules","0.4.2","gDB1Q5rdiI1EoFpYHTQsk","0.0007","0.7","2026/5/6 19:02:51"
"torch","2.8.0+cu128","GDxgJET5jZ-vXTdJDT6Ve","6.8802","7045.3","2026/5/6 19:11:01"
"tokenizers","0.21.4","GfbsUA7KUdCPyh3_IIqc6","0.0068","7","2026/5/20 14:00:19"
"typeguard","4.5.2","gFXqAE-2Ahwj101XVBD-L","0.0001","0.1","2026/5/20 14:00:23"
"anyio","4.12.1","Gi86qzX7QmiMmy-0p_BsP","0.0004","0.4","2026/1/30 12:26:32"
"filelock","3.19.1","gio9x2Uq0yKfzhln3Rv20","0","0","2026/1/30 11:49:40"
"markdown-it-py","4.2.0","gJFrhKQFUtWgGLy7f08DK","0.0002","0.2","2026/5/19 20:55:02"
"kornia_rs","0.1.10","go9A2lmC4iG55nn4UHbZl","0.0096","9.9","2026/2/2 19:21:21"
"pluggy","1.6.0","GqD0ufcF6aVNOGRrytiQh","0.0001","0.1","2026/3/2 19:25:32"
"qwen-omni-utils","0.0.9","grNkOxg7SRdBTESQm8Seu","0","0","2026/5/19 20:55:02"
"types-pytz","2026.2.0.20260506","gtv_ZQMekCT1IxTnqelUQ","0","0","2026/5/6 19:29:01"
"tzdata","2025.2","Gvao8F7QIPdffXfzox0V3","0.0005","0.6","2026/5/6 19:02:46"
"pydantic-settings","2.12.0","gYz_afwDGRqOxBMqvRgnL","0.0002","0.2","2026/2/2 19:21:21"
"torchsde","0.2.6","H_vXGdQtFRysIjS29KfNt","0.0002","0.2","2026/2/2 19:21:21"
"PyYAML","6.0.3","h-DjzZEqinJaf6dtHJmw_","0.0004","0.5","2026/5/20 14:00:19"
"termcolor","3.1.0","H-wjipfQMEmCNdEFb9chd","0","0","2026/1/30 11:49:38"
"psutil","7.0.0","H3Frxh5_xhiP1H6J7wf8w","0.0009","0.9","2026/3/2 19:25:31"
"anyio","4.12.1","h4woIWxIyQnWqEI9tdo5s","0.0004","0.4","2026/2/2 19:21:21"
"rsa","4.9.1","H6i8IBKRTWTIyW6TuCTvy","0.0001","0.1","2026/5/6 19:02:51"
"ipython","8.37.0","H9RmJOC1nEy-GRMtYRXkr","0.0025","2.5","2026/1/30 11:49:40"
"randomname","0.2.1","h9tojsj0EGmf1cAiV5X_k","0.0001","0.1","2026/1/30 11:49:38"
"h11","0.16.0","HAUXrJ7Wk5gycx7IcsMbA","0.0001","0.1","2026/1/30 12:26:31"
"lxml","6.0.0","hBDChZtRfuvQTVGbcEbRH","0.0084","8.6","2026/3/2 19:25:32"
"fastapi","0.136.1","HBdJp42tLvTqh7zdiDN-v","0.0007","0.7","2026/5/19 20:02:04"
"matplotlib","3.8.2","HBz_r4NeLAryAOr0DvTsA","0.0177","18.1","2026/5/6 19:03:02"
"scipy","1.17.1","HcGh0av9nJViSSpcqnXXg","0.1028","105.2","2026/2/26 12:28:22"
"certifi","2026.2.25","HctKaIvtaMB6qOydww8xv","0.0003","0.3","2026/2/26 12:28:04"
"colorama","0.4.6","HE9tUVxsetcr0wBuCedNl","0.0001","0.1","2026/1/30 12:26:31"
"mpmath","1.3.0","hHkbNTe9k_0Tqob8IRk96","0.0018","1.9","2026/5/20 14:00:23"
"huggingface_hub","1.3.5","hiPdOKviGFB791YE470aE","0.002","2.1","2026/1/30 12:26:32"
"editables","0.5","hJAd5W_kpMbeoDxHeejTS","0","0","2026/3/2 19:25:33"
"typer","0.17.4","hJna45UnEutE9Bp8qFs-x","0.0002","0.2","2026/5/6 19:26:59"
"semantic-version","2.10.0","Hkm8blcIivfW7qA47W4I6","0.0001","0.1","2026/5/6 19:26:59"
"groovy","0.1.2","hLhHkWJbkVXahESHTlCJG","0","0","2026/1/30 11:49:40"
"grpcio","1.57.0","HlSCLRWbW_61QB6XHETgK","0.01","10.3","2026/5/20 14:00:36"
"opencv-python","4.9.0.80","HpnWcuQWKictmK4NvZD9_","0.1037","106.2","2026/1/30 11:50:10"
"uv","0.9.28","hQh204QYbrbPLxSq_RDhu","0.0599","61.3","2026/2/2 19:21:48"
"idna","3.11","HQPfKejEcITdWc7_7YdZ6","0.0003","0.3","2026/2/2 19:21:21"
"soundfile","0.12.1","HrgiMtt9c8R7Ae5GkvihC","0.0022","2.3","2026/5/20 14:00:25"
"filelock","3.24.3","hs8fitse7O4lNoOlGEawe","0.0001","0.1","2026/2/26 12:28:03"
"torchaudio","2.11.0","HtbCMmVPObVazfbippEkO","0.0012","1.2","2026/5/19 20:02:05"
"comfyui-workflow-templates-media-other","0.3.98","htz95HsEaMkgoMD7huuOD","0.0345","35.3","2026/2/2 19:21:56"
"tomli","2.4.0","hU_PizNJJBVK8cWONnfTg","0","0","2026/1/30 11:49:38"
"certifi","2026.1.4","HUJx-fnqVpCElWgR1GkmT","0.0003","0.3","2026/2/2 19:21:22"
"comfyui-workflow-templates-media-api","0.3.47","hvaXJ9LkOqKUjHmTxqjU3","0.0745","76.3","2026/2/2 19:22:07"
"hf-xet","1.2.0","Hvv_I9iY4hcfoSF8I7bfw","0.0065","6.7","2026/1/30 12:26:31"
"librosa","0.10.2.post1","HwekjUMWE3jf-_yIBB6wl","0.0009","1","2026/1/30 11:49:38"
"pathspec","1.0.4","HwEP3R5FFKTBx0N-4tXEp","0.0001","0.1","2026/1/30 11:49:39"
"annotated-types","0.7.0","HX0b9StGJZxLZGaZm3F5-","0","0","2026/2/13 17:17:06"
"pydantic_core","2.46.4","Hxh77_IkGFm3Y4ZZxEmK9","0.0052","5.3","2026/5/19 20:02:07"
"msgpack","1.1.1","hXnxsvwtQqxbGmWwA0zH2","0.0002","0.2","2026/1/30 11:49:38"
"hatchling","1.29.0","HYjg_ihZkF_s3koODkQ7M","0.0003","0.3","2026/3/2 19:11:41"
"typer","0.24.1","hZqMknEmv_Ry2sShHUMCu","0.0002","0.3","2026/2/26 12:28:03"
"torchvision","0.21.0+cu124","I2B-pevAwTtjCFMSsnPbx","0.0147","15.1","2026/5/28 15:52:45"
"google-auth","2.48.0","i7ZX5oHhGM9MiGix0DyuX","0.0008","0.8","2026/5/6 19:02:51"
"openai-whisper","20231117","IAe-CP2ngSH978vsv-ZM4","0.0017","1.8","2026/5/20 14:00:19"
"torch","2.6.0+cu124","iAjtQnSvXT_Lmt44_WlK6","4.3292","4433.1","2026/2/26 13:30:23"
"pydantic_core","2.33.2","Ibc6gRrJAw3DTHGjgf7aU","0.0051","5.3","2026/1/30 11:49:38"
"scikit-learn","1.8.0","IBRcc4VgP-fRI-2LIxrM-","0.0246","25.2","2026/2/9 17:00:59"
"comfyui-embedded-docs","0.4.0","IffFBjCtO4-VRGLvn4-Kt","0.0151","15.5","2026/2/2 19:21:36"
"httpx","0.28.1","Ig1anPpwHvFUYYLZtbu3r","0.0003","0.3","2026/1/30 11:49:40"
"randomname","0.2.1","IhF9w2Kw_Vg-iTMU8BDu2","0.0001","0.1","2026/5/6 19:02:52"
"gradio","5.45.0","IIL8wjVNV7oqB_c0NT_pJ","0.1764","180.7","2026/1/30 11:50:13"
"ruff","0.15.13","ijFz5Z0yapKWYH1dwgmxn","0.0306","31.3","2026/5/20 14:00:47"
"requests-oauthlib","2.0.0","iNJbS88vDHxOpMFfW4XHZ","0.0001","0.1","2026/5/6 19:02:49"
"omegaconf","2.3.0","IpdaKBp7AxDlb4vaHKzqR","0.0003","0.3","2026/5/6 19:02:51"
"grpcio","1.75.0","IQO9vsbofADdUFJZbofui","0.0103","10.6","2026/1/30 11:49:51"
"decorator","5.2.1","isaI6P1-z0zf4RcM6-r9E","0","0","2026/5/6 19:02:48"
"comfy-kitchen","0.2.7","IScCgJbEi_3Qwbs0F_Cfz","0.0018","1.9","2026/2/2 19:21:23"
"gradio_client","1.4.2","iT3vevDYuhMKCB4yFSlIt","0.0009","0.9","2026/5/20 14:00:22"
"scipy","1.17.0","iumHnK0K-nw9c0inhYzs-","0.1022","104.6","2026/2/2 19:21:57"
"torchvision","0.25.0","IvQDu4v18sFiMVcyOydyi","0.0116","11.9","2026/2/26 12:28:09"
"tomlkit","0.13.3","iw47Qz9_DyvOJt9mElJzA","0.0002","0.2","2026/1/30 11:49:40"
"dill","0.4.0","iXdnzNUpFrsmZttR_t6vz","0.0003","0.4","2026/2/26 12:28:03"
"google-auth","2.53.0","iXjvAvnD2BgJ3sE9Ey0j_","0.0008","0.8","2026/5/20 14:00:22"
"filelock","3.29.0","IY7PxfY4TwlMof2aIcp8Q","0.0001","0.1","2026/5/20 14:00:19"
"rich","14.3.1","iyGKUNtieKu9FmddRZmN-","0.0012","1.2","2026/2/2 19:21:22"
"lightning","2.6.1","iyuGfOMvcB4pfJ9XmzTd6","0.0027","2.8","2026/2/26 12:28:05"
"torchaudio","2.8.0+cu128","iZ21vMdlpub2gbLnQRpj4","0.0222","22.7","2026/5/6 19:02:45"
"filelock","3.20.3","IzomLp_i9zh5syVj1lWr1","0","0","2026/2/2 19:21:21"
"packaging","26.0","J0DfhnzV2EtEN48uAs8O8","0.0003","0.3","2026/2/9 16:59:05"
"cffi","2.0.0","j40P6mLaxJEgHFG1lfleV","0.0005","0.5","2026/2/13 17:17:09"
"setuptools","80.10.2","j6tRvRi5AytFdapJgMNcb","0.0034","3.5","2026/1/30 12:22:51"
"pandas","2.3.3","j9aKR9e5Carn-_wS6PewJ","0.0362","37.1","2026/5/20 14:00:46"
"requests","2.33.1","jAf_F8aUTVN2MDN_TFaMb","0.0002","0.2","2026/4/14 18:27:22"
"safetensors","0.7.0","jbauboOqBZMU78LPK2nfM","0.0007","0.8","2026/2/2 19:21:21"
"lazy-loader","0.5","JcBK7fcB_aqXr49Vcemm9","0","0","2026/5/19 20:55:01"
"scipy-stubs","1.17.1.0","JciyP4iIezVEm7wr-SobU","0.0026","2.7","2026/2/24 17:32:19"
"tqdm","4.67.1","JCJwmEVVujw9dG2ISIiqG","0.0002","0.2","2026/1/30 12:26:31"
"filelock","3.29.0","jE70fvvSKxthGWYVwv92w","0.0001","0.1","2026/5/19 20:02:04"
"websockets","12.0","JGfUGhuo_aapnIAp-6tve","0.0004","0.4","2026/5/20 14:00:21"
"mpmath","1.3.0","jGsFFojXvm8_-NfihS4Cs","0.0018","1.9","2026/2/9 17:08:44"
"llvmlite","0.41.1","JgzatKmWdv6PMhNXV9Cej","0.0753","77.1","2026/1/30 11:50:08"
"nltk","3.9.1","jhzsxMA2eEhBQpT-3yOly","0.0053","5.4","2026/5/6 19:02:51"
"antlr4-python3-runtime","4.9.3","jJiIm3tpbd-YCT507AdZ-","0.0004","0.5","2026/1/30 11:49:38"
"memory-profiler","0.61.0","JjzgpAjVZOvGj7EpFbkjL","0.0001","0.1","2026/3/2 19:25:31"
"contourpy","1.3.2","JlA-8TMweFOJ2msecLyQU","0.0006","0.6","2026/1/30 11:49:37"
"traitlets","5.14.3","jLxRSZnXHHFlvzjjVms3M","0.0003","0.3","2026/1/30 11:49:39"
"torchmetrics","1.8.2","jN2ISLmuQln25_n93Zv3D","0.0033","3.4","2026/2/26 12:28:05"
"aiofiles","24.1.0","jPdoNvwG1iFFo0el11oFq","0","0","2026/1/30 11:49:40"
"openseespywin","3.7.0.3","jpUMNxWNLnuKmMrh2Voh1","0.0157","16","2026/2/14 14:28:22"
"tenacity","9.1.4","JpyCkRItnrqa8DD-Q42ON","0.0001","0.1","2026/2/13 17:17:07"
"pandas","2.3.2","JSonhVKYt3dSyyF6z5XJ2","0.0362","37","2026/1/30 11:49:57"
"asttokens","3.0.0","jWegYGPAVa5yKqydePmK0","0.0001","0.1","2026/5/6 19:02:49"
"textstat","0.7.10","jZh6nUWPkgYxnVCmQ-SqK","0.0005","0.5","2026/5/6 19:02:46"
"tensorboard-data-server","0.6.1","k-lD0rAzxJac1KA6i8X9R","0","0","2026/5/6 19:02:48"
"soynlp","0.0.493","K2vXbP4MXK2zE2zNCYWe5","0.0011","1.1","2026/5/19 20:55:03"
"platformdirs","4.4.0","K3hM94VBkMwd3d5ZSELd0","0.0001","0.1","2026/1/30 11:49:38"
